CHILDCODE	LANDIDR5	TOTLNDR5	LUPLTAR5	PLTUSAR5	PRIRRR5	TOTINDR5	LUPLTNR5	USEINDR5
110015	4	0	 	 	 	 	 	 
110015	5	0	 	 	 	0	 	 
110016	1	6	5	5	5	1000	17	1
110016	2	0	 	 	 	0	 	 
110016	3	0	 	 	 	0	 	 
110016	4	0	 	 	 	 	 	 
110016	5	0	 	 	 	0	 	 
110017	1	4	5	5	5	.5	5	2
110017	2	0	 	 	 	0	 	 
110017	3	2	5	5	5	0	 	 
110017	4	0	 	 	 	 	 	 
110017	5	0	 	 	 	0	 	 
110019	1	7	5	5	5	1000	17	1
110019	2	0	 	 	 	0	 	 
110019	3	0	 	 	 	0	 	 
110019	4	0	 	 	 	 	 	 
110019	5	0	 	 	 	0	 	 
110020	1	.5	5	5	5	1000	17	2
110020	2	0	 	 	 	0	 	 
110020	3	3	5	5	5	0	 	 
110020	4	2	5	5	5	 	 	 
110020	5	0	 	 	 	0	 	 
110021	1	 	 	 	 	350	17	1
110021	2	 	 	 	 	0	 	 
110021	3	 	 	 	 	0	 	 
110021	4	 	 	 	 	 	 	 
110021	5	 	 	 	 	0	 	 
110022	1	8	4	5	5	3000	17	2
110022	2	0	 	 	 	0	 	 
110022	3	2	5	5	5	0	 	 
110022	4	0	 	 	 	 	 	 
110022	5	0	 	 	 	0	 	 
110023	1	3	5	5	5	1000	17	2
110023	2	0	 	 	 	0	 	 
110023	3	0	 	 	 	0	 	 
110023	4	0	 	 	 	 	 	 
110023	5	0	 	 	 	0	 	 
110024	1	8	5	5	5	1	5	2
110024	2	0	 	 	 	0	 	 
110024	3	0	 	 	 	0	 	 
110024	4	0	 	 	 	 	 	 
110024	5	0	 	 	 	0	 	 
110025	1	4.5	5	5	5	1000	17	1
110025	2	0	 	 	 	0	 	 
110025	3	8	5	5	5	0	 	 
110025	4	0	 	 	 	 	 	 
110025	5	0	 	 	 	0	 	 
110026	1	8	5	5	5	.5	5	2
110026	2	0	 	 	 	0	 	 
110026	3	0	 	 	 	0	 	 
110026	4	0	 	 	 	 	 	 
110026	5	0	 	 	 	0	 	 
110027	1	6	5	5	5	1000	17	1
110027	2	0	 	 	 	0	 	 
110027	3	0	 	 	 	0	 	 
110027	4	0	 	 	 	 	 	 
110027	5	0	 	 	 	0	 	 
110028	1	 	 	 	 	1000	17	2
110028	2	 	 	 	 	0	 	 
110028	3	 	 	 	 	0	 	 
110028	4	 	 	 	 	 	 	 
110028	5	 	 	 	 	0	 	 
110029	1	0	 	 	 	500	17	3
110029	2	0	 	 	 	0	 	 
110029	3	0	 	 	 	0	 	 
110029	4	0	 	 	 	 	 	 
110029	5	0	 	 	 	0	 	 
110030	1	4	5	5	5	200	17	1
110030	2	0	 	 	 	0	 	 
110030	3	0	 	 	 	0	 	 
110030	4	0	 	 	 	 	 	 
110030	5	0	 	 	 	0	 	 
110031	1	2	2	5	5	1	5	2
110031	2	0	 	 	 	0	 	 
110031	3	0	 	 	 	0	 	 
110031	4	0	 	 	 	 	 	 
110031	5	0	 	 	 	0	 	 
110032	1	1	2	5	5	1000	17	1
110032	2	0	 	 	 	0	 	 
110032	3	1	2	5	5	0	 	 
110032	4	0	 	 	 	 	 	 
110032	5	0	 	 	 	0	 	 
110033	1	1	2	5	5	350	17	1
110033	2	0	 	 	 	0	 	 
110033	3	0	 	 	 	0	 	 
110033	4	0	 	 	 	 	 	 
110033	5	0	 	 	 	0	 	 
110034	1	7	5	5	5	1000	17	2
110034	2	0	 	 	 	0	 	 
110034	3	0	 	 	 	0	 	 
110034	4	0	 	 	 	 	 	 
110034	5	0	 	 	 	0	 	 
110035	1	1	2	5	5	1000	17	2
110035	2	0	 	 	 	0	 	 
110035	3	0	 	 	 	0	 	 
110035	4	0	 	 	 	 	 	 
110035	5	0	 	 	 	0	 	 
110036	1	2	5	5	5	300	17	1
110036	2	0	 	 	 	0	 	 
110036	3	0	 	 	 	0	 	 
110036	4	0	 	 	 	 	 	 
110036	5	0	 	 	 	0	 	 
110037	1	1.5	5	5	5	1000	17	2
110037	2	0	 	 	 	0	 	 
110037	3	0	 	 	 	0	 	 
110037	4	0	 	 	 	 	 	 
110037	5	0	 	 	 	0	 	 
110038	1	2	5	5	5	500	17	3
110038	2	0	 	 	 	0	 	 
110038	3	2	5	5	5	0	 	 
110038	4	0	 	 	 	 	 	 
110038	5	0	 	 	 	0	 	 
110039	1	3	5	5	5	1	5	3
110039	2	0	 	 	 	0	 	 
110039	3	0	 	 	 	0	 	 
110039	4	0	 	 	 	 	 	 
110039	5	0	 	 	 	0	 	 
110040	1	0	 	 	 	250	17	2
110040	2	0	 	 	 	0	 	 
110040	3	0	 	 	 	0	 	 
110040	4	0	 	 	 	 	 	 
110040	5	0	 	 	 	0	 	 
110041	1	 	 	 	 	400	17	1
110041	2	 	 	 	 	0	 	 
110041	3	 	 	 	 	0	 	 
110041	4	 	 	 	 	 	 	 
110041	5	 	 	 	 	0	 	 
110042	1	2	2	5	5	1000	17	1
110042	2	0	 	 	 	0	 	 
110042	3	0	 	 	 	0	 	 
110042	4	0	 	 	 	 	 	 
110042	5	0	 	 	 	0	 	 
110043	1	8	5	5	5	1	5	2
110043	2	0	 	 	 	0	 	 
110043	3	0	 	 	 	0	 	 
110043	4	0	 	 	 	 	 	 
110043	5	0	 	 	 	0	 	 
110045	1	3	5	5	5	800	17	1
110045	2	0	 	 	 	0	 	 
110045	3	0	 	 	 	0	 	 
110045	4	0	 	 	 	 	 	 
110045	5	0	 	 	 	0	 	 
110046	1	 	 	 	 	1000	17	1
110046	2	 	 	 	 	0	 	 
110046	3	 	 	 	 	0	 	 
110046	4	 	 	 	 	 	 	 
110046	5	 	 	 	 	0	 	 
110047	1	1	5	5	5	.5	5	2
110047	2	0	 	 	 	0	 	 
110047	3	4	5	5	5	0	 	 
110047	4	2	5	5	5	 	 	 
110047	5	0	 	 	 	0	 	 
110048	1	8	5	5	5	1	5	3
110048	2	0	 	 	 	0	 	 
110048	3	0	 	 	 	0	 	 
110048	4	1	5	5	5	 	 	 
110048	5	0	 	 	 	0	 	 
110049	1	3	2	20	5	1000	17	1
110049	2	0	 	 	 	0	 	 
110049	3	0	 	 	 	0	 	 
110049	4	0	 	 	 	 	 	 
110049	5	0	 	 	 	0	 	 
110051	1	2	2	5	5	1000	17	1
110051	2	0	 	 	 	0	 	 
110051	3	0	 	 	 	0	 	 
110051	4	0	 	 	 	 	 	 
110051	5	0	 	 	 	0	 	 
110052	1	2	2	20	5	500	17	1
110052	2	0	 	 	 	0	 	 
110052	3	0	 	 	 	0	 	 
110052	4	0	 	 	 	 	 	 
110052	5	0	 	 	 	0	 	 
110053	1	4	5	5	5	600	17	2
110053	2	0	 	 	 	0	 	 
110053	3	0	 	 	 	0	 	 
110053	4	0	 	 	 	 	 	 
110053	5	0	 	 	 	0	 	 
110054	1	0	 	 	 	1	4	3
110054	2	0	 	 	 	0	 	 
110054	3	2	4	5	5	0	 	 
110054	4	4	4	5	5	 	 	 
110054	5	0	 	 	 	0	 	 
110055	1	2	2	5	5	.25	2	3
110055	2	0	 	 	 	0	 	 
110055	3	1	2	5	5	0	 	 
110055	4	0	 	 	 	 	 	 
110055	5	0	 	 	 	0	 	 
110056	1	3	5	5	5	400	17	2
110056	2	0	 	 	 	0	 	 
110056	3	2	5	5	5	0	 	 
110056	4	0	 	 	 	 	 	 
110056	5	0	 	 	 	0	 	 
110057	1	2	5	5	5	600	17	1
110057	2	0	 	 	 	0	 	 
110057	3	2	5	5	5	0	 	 
110057	4	0	 	 	 	 	 	 
110057	5	0	 	 	 	0	 	 
110059	1	4	5	5	5	1000	17	3
110059	2	0	 	 	 	0	 	 
110059	3	0	 	 	 	0	 	 
110059	4	0	 	 	 	 	 	 
110059	5	0	 	 	 	0	 	 
110060	1	3	5	5	5	1	5	1
110060	2	0	 	 	 	0	 	 
110060	3	0	 	 	 	0	 	 
110060	4	0	 	 	 	 	 	 
110060	5	0	 	 	 	0	 	 
110061	1	 	 	 	 	0	 	 
110061	2	 	 	 	 	0	 	 
110061	3	 	 	 	 	24	2	1
110061	4	 	 	 	 	 	 	 
110061	5	 	 	 	 	0	 	 
110062	1	0	 	 	 	.5	5	1
110062	2	0	 	 	 	0	 	 
110062	3	0	 	 	 	0	 	 
110062	4	0	 	 	 	 	 	 
110062	5	0	 	 	 	0	 	 
110063	1	2	5	5	5	1	5	3
110063	2	0	 	 	 	0	 	 
110063	3	13	5	5	5	0	 	 
110063	4	0	 	 	 	 	 	 
110063	5	0	 	 	 	0	 	 
110065	1	1	2	5	5	.25	2	2
110065	2	0	 	 	 	0	 	 
110065	3	0	 	 	 	0	 	 
110065	4	0	 	 	 	 	 	 
110065	5	0	 	 	 	0	 	 
110066	1	2	5	5	5	1	5	2
110066	2	6	5	5	5	0	 	 
110066	3	0	 	 	 	0	 	 
110066	4	0	 	 	 	 	 	 
110066	5	0	 	 	 	0	 	 
110067	1	1	5	5	5	1000	17	1
110067	2	0	 	 	 	0	 	 
110067	3	1.5	5	5	5	0	 	 
110067	4	0	 	 	 	 	 	 
110067	5	0	 	 	 	0	 	 
110068	1	1	5	5	5	1000	17	1
110068	2	0	 	 	 	0	 	 
110068	3	0	 	 	 	0	 	 
110068	4	0	 	 	 	 	 	 
110068	5	0	 	 	 	0	 	 
110069	1	4	5	5	5	1000	17	2
110069	2	0	 	 	 	0	 	 
110069	3	0	 	 	 	0	 	 
110069	4	0	 	 	 	 	 	 
110069	5	0	 	 	 	0	 	 
110070	1	2	2	5	5	.25	2	2
110070	2	0	 	 	 	0	 	 
110070	3	1	2	5	5	0	 	 
110070	4	0	 	 	 	 	 	 
110070	5	0	 	 	 	0	 	 
110071	1	10	5	5	1	2	5	2
110071	2	0	 	 	 	0	 	 
110071	3	20	5	5	5	0	 	 
110071	4	0	 	 	 	 	 	 
110071	5	0	 	 	 	0	 	 
110072	1	0	 	 	 	.5	5	1
110072	2	0	 	 	 	0	 	 
110072	3	2	5	5	5	0	 	 
110072	4	0	 	 	 	 	 	 
110072	5	0	 	 	 	0	 	 
110073	1	7	5	5	5	.75	5	2
110073	2	0	 	 	 	0	 	 
110073	3	5	5	5	5	0	 	 
110073	4	0	 	 	 	 	 	 
110073	5	0	 	 	 	0	 	 
110074	1	1	2	20	5	500	17	1
110074	2	0	 	 	 	0	 	 
110074	3	0	 	 	 	0	 	 
110074	4	0	 	 	 	 	 	 
110074	5	0	 	 	 	0	 	 
110075	1	1	2	20	5	.25	2	3
110075	2	0	 	 	 	0	 	 
110075	3	0	 	 	 	0	 	 
110075	4	0	 	 	 	 	 	 
110075	5	0	 	 	 	0	 	 
110076	1	1	5	20	5	0	 	 
110076	2	0	 	 	 	0	 	 
110076	3	0	 	 	 	30	17	1
110076	4	0	 	 	 	 	 	 
110076	5	0	 	 	 	0	 	 
110077	1	1	2	5	5	1	5	2
110077	2	0	 	 	 	0	 	 
110077	3	0	 	 	 	0	 	 
110077	4	1	2	5	5	 	 	 
110077	5	0	 	 	 	0	 	 
110078	1	1.5	2	5	5	.5	2	1
110078	2	0	 	 	 	0	 	 
110078	3	4	2	5	5	0	 	 
110078	4	0	 	 	 	 	 	 
110078	5	0	 	 	 	0	 	 
110079	1	2	5	5	5	1	5	1
110079	2	0	 	 	 	0	 	 
110079	3	4	5	5	5	0	 	 
110079	4	0	 	 	 	 	 	 
110079	5	0	 	 	 	0	 	 
110081	1	5	5	5	5	1	5	2
110081	2	0	 	 	 	0	 	 
110081	3	0	 	 	 	0	 	 
110081	4	0	 	 	 	 	 	 
110081	5	0	 	 	 	0	 	 
110082	1	4	5	5	5	0	 	 
110082	2	0	 	 	 	25	17	1
110082	3	0	 	 	 	0	 	 
110082	4	0	 	 	 	 	 	 
110082	5	0	 	 	 	0	 	 
110083	1	1.25	2	5	5	.25	2	2
110083	2	0	 	 	 	0	 	 
110083	3	.5	2	5	5	0	 	 
110083	4	0	 	 	 	 	 	 
110083	5	0	 	 	 	0	 	 
110084	1	.25	2	5	5	1200	17	2
110084	2	0	 	 	 	0	 	 
110084	3	.25	2	5	5	0	 	 
110084	4	0	 	 	 	 	 	 
110084	5	0	 	 	 	0	 	 
110085	1	.5	2	5	5	.200000002980232	2	2
110085	2	0	 	 	 	0	 	 
110085	3	1.5	2	5	5	0	 	 
110085	4	0	 	 	 	 	 	 
110085	5	0	 	 	 	0	 	 
110086	1	.119999997317791	2	5	5	.119999997317791	2	3
110086	2	0	 	 	 	0	 	 
110086	3	0	 	 	 	0	 	 
110086	4	0	 	 	 	 	 	 
110086	5	0	 	 	 	0	 	 
110088	1	2	2	5	5	.25	2	2
110088	2	0	 	 	 	0	 	 
110088	3	0	 	 	 	0	 	 
110088	4	0	 	 	 	 	 	 
110088	5	0	 	 	 	0	 	 
110089	1	.25	2	5	5	.119999997317791	2	2
110089	2	0	 	 	 	0	 	 
110089	3	1.5	2	5	5	0	 	 
110089	4	0	 	 	 	 	 	 
110089	5	0	 	 	 	0	 	 
110091	1	8	4	5	5	.5	4	1
110091	2	0	 	 	 	0	 	 
110091	3	0	 	 	 	0	 	 
110091	4	0	 	 	 	 	 	 
110091	5	0	 	 	 	0	 	 
110092	1	6	5	5	5	3	5	3
110092	2	0	 	 	 	0	 	 
110092	3	0	 	 	 	0	 	 
110092	4	0	 	 	 	 	 	 
110092	5	0	 	 	 	0	 	 
110093	1	2.5	2	5	1	.75	2	3
110093	2	0	 	 	 	0	 	 
110093	3	2	2	5	5	0	 	 
110093	4	.5	2	5	5	 	 	 
110093	5	0	 	 	 	0	 	 
110094	1	.25	2	5	5	.25	2	2
110094	2	0	 	 	 	0	 	 
110094	3	.5	2	5	5	0	 	 
110094	4	0	 	 	 	 	 	 
110094	5	0	 	 	 	0	 	 
110096	1	11	5	5	5	2	5	3
110096	2	0	 	 	 	0	 	 
110096	3	0	 	 	 	0	 	 
110096	4	0	 	 	 	 	 	 
110096	5	0	 	 	 	0	 	 
110098	1	1.5	2	5	5	1000	17	3
110098	2	0	 	 	 	0	 	 
110098	3	0	 	 	 	0	 	 
110098	4	0	 	 	 	 	 	 
110098	5	0	 	 	 	0	 	 
110099	1	.5	2	10	5	.25	2	2
110099	2	0	 	 	 	0	 	 
110099	3	0	 	 	 	0	 	 
110099	4	0	 	 	 	 	 	 
110099	5	0	 	 	 	0	 	 
110100	1	1.75	2	5	5	.5	2	2
110100	2	0	 	 	 	0	 	 
110100	3	1.25	2	5	5	0	 	 
110100	4	0	 	 	 	 	 	 
110100	5	0	 	 	 	0	 	 
120001	1	1.5	4	5	5	50	4	1
120001	2	0	 	 	 	0	 	 
120001	3	0	 	 	 	0	 	 
120001	4	0	 	 	 	 	 	 
120001	5	0	 	 	 	0	 	 
120002	1	.75	4	5	4	100	4	1
120002	2	0	 	 	 	0	 	 
120002	3	0	 	 	 	0	 	 
120002	4	0	 	 	 	 	 	 
120002	5	0	 	 	 	0	 	 
120004	1	 	 	 	 	200	17	1
120004	2	 	 	 	 	0	 	 
120004	3	 	 	 	 	72	17	1
120004	4	 	 	 	 	 	 	 
120004	5	 	 	 	 	0	 	 
120005	1	1.5	4	5	4	.25	4	1
120005	2	0	 	 	 	0	 	 
120005	3	0	 	 	 	0	 	 
120005	4	0	 	 	 	 	 	 
120005	5	0	 	 	 	0	 	 
120006	1	3.5	4	5	5	150	17	1
120006	2	0	 	 	 	0	 	 
120006	3	0	 	 	 	0	 	 
120006	4	0	 	 	 	 	 	 
120006	5	0	 	 	 	0	 	 
120007	1	 	 	 	 	66	17	1
120007	2	 	 	 	 	0	 	 
120007	3	 	 	 	 	20	17	8
120007	4	 	 	 	 	 	 	 
120007	5	 	 	 	 	0	 	 
120008	1	2	4	5	1	.25	4	2
120008	2	0	 	 	 	0	 	 
120008	3	1	4	5	4	0	 	 
120008	4	0	 	 	 	 	 	 
120008	5	0	 	 	 	0	 	 
120009	1	2	4	5	2	.25	4	1
120009	2	0	 	 	 	0	 	 
120009	3	1	4	5	5	0	 	 
120009	4	4	4	5	5	 	 	 
120009	5	0	 	 	 	0	 	 
120010	1	4	4	5	5	.5	4	1
120010	2	0	 	 	 	0	 	 
120010	3	0	 	 	 	0	 	 
120010	4	0	 	 	 	 	 	 
120010	5	0	 	 	 	0	 	 
120011	1	2	4	5	1	72	17	1
120011	2	0	 	 	 	0	 	 
120011	3	2	4	5	5	0	 	 
120011	4	0	 	 	 	 	 	 
120011	5	0	 	 	 	0	 	 
120012	1	2	4	5	5	300	17	1
120012	2	0	 	 	 	0	 	 
120012	3	0	 	 	 	0	 	 
120012	4	0	 	 	 	 	 	 
120012	5	0	 	 	 	0	 	 
120013	1	0	 	 	 	160	17	1
120013	2	0	 	 	 	0	 	 
120013	3	0	 	 	 	0	 	 
120013	4	0	 	 	 	 	 	 
120013	5	0	 	 	 	0	 	 
120014	1	1	4	5	1	56	17	1
120014	2	0	 	 	 	0	 	 
120014	3	1	4	5	5	0	 	 
120014	4	1	4	5	5	 	 	 
120014	5	0	 	 	 	0	 	 
120015	1	2	4	5	2	400	17	1
120015	2	0	 	 	 	0	 	 
120015	3	1	4	5	5	0	 	 
120015	4	2	4	5	5	 	 	 
120015	5	0	 	 	 	0	 	 
120016	1	4.92000007629395	4	5	1	162	17	4
120016	2	0	 	 	 	0	 	 
120016	3	0	 	 	 	0	 	 
120016	4	0	 	 	 	 	 	 
120016	5	0	 	 	 	0	 	 
120017	1	2	4	5	5	150	17	1
120017	2	0	 	 	 	0	 	 
120017	3	0	 	 	 	0	 	 
120017	4	0	 	 	 	 	 	 
120017	5	0	 	 	 	0	 	 
120018	1	.00999999977648258	4	5	1	100	4	1
120018	2	0	 	 	 	0	 	 
120018	3	0	 	 	 	0	 	 
120018	4	0	 	 	 	 	 	 
120018	5	0	 	 	 	0	 	 
120019	1	1	4	5	5	.25	4	1
120019	2	0	 	 	 	0	 	 
120019	3	0	 	 	 	0	 	 
120019	4	1.5	4	5	5	 	 	 
120019	5	0	 	 	 	0	 	 
120020	1	.5	4	5	4	400	17	4
120020	2	0	 	 	 	0	 	 
120020	3	0	 	 	 	0	 	 
120020	4	0	 	 	 	 	 	 
120020	5	0	 	 	 	0	 	 
120021	1	2	4	5	5	28	17	1
120021	2	0	 	 	 	0	 	 
120021	3	0	 	 	 	0	 	 
120021	4	0	 	 	 	 	 	 
120021	5	0	 	 	 	0	 	 
120023	1	2	4	10	5	200	17	2
120023	2	0	 	 	 	0	 	 
120023	3	0	 	 	 	0	 	 
120023	4	0	 	 	 	 	 	 
120023	5	0	 	 	 	0	 	 
120024	1	1	4	5	2	20	17	1
120024	2	0	 	 	 	0	 	 
120024	3	0	 	 	 	0	 	 
120024	4	0	 	 	 	 	 	 
120024	5	0	 	 	 	0	 	 
120025	1	2	4	5	5	150	17	1
120025	2	0	 	 	 	0	 	 
120025	3	0	 	 	 	0	 	 
120025	4	0	 	 	 	 	 	 
120025	5	0	 	 	 	0	 	 
120026	1	2	4	5	5	48	17	1
120026	2	0	 	 	 	0	 	 
120026	3	1	4	5	5	0	 	 
120026	4	0	 	 	 	 	 	 
120026	5	0	 	 	 	0	 	 
120027	1	3	4	5	1	500	17	1
120027	2	0	 	 	 	0	 	 
120027	3	0	 	 	 	0	 	 
120027	4	0	 	 	 	 	 	 
120027	5	0	 	 	 	0	 	 
120028	1	 	 	 	 	0	 	 
120028	2	 	 	 	 	0	 	 
120028	3	 	 	 	 	16	17	1
120028	4	 	 	 	 	 	 	 
120028	5	 	 	 	 	0	 	 
120029	1	4	4	5	5	30	17	1
120029	2	0	 	 	 	0	 	 
120029	3	0	 	 	 	0	 	 
120029	4	0	 	 	 	 	 	 
120029	5	0	 	 	 	0	 	 
120031	1	1.79999995231628	3	5	1	80	17	1
120031	2	0	 	 	 	0	 	 
120031	3	0	 	 	 	0	 	 
120031	4	0	 	 	 	 	 	 
120031	5	0	 	 	 	0	 	 
120032	1	2	4	5	5	38.4000015258789	17	1
120032	2	0	 	 	 	0	 	 
120032	3	0	 	 	 	0	 	 
120032	4	0	 	 	 	 	 	 
120032	5	0	 	 	 	0	 	 
120033	1	2	4	5	5	1	4	2
120033	2	0	 	 	 	0	 	 
120033	3	0	 	 	 	0	 	 
120033	4	0	 	 	 	 	 	 
120033	5	0	 	 	 	0	 	 
120034	1	4	4	5	1	49	17	1
120034	2	0	 	 	 	0	 	 
120034	3	0	 	 	 	0	 	 
120034	4	0	 	 	 	 	 	 
120034	5	0	 	 	 	0	 	 
120035	1	3	4	5	1	48	17	1
120035	2	0	 	 	 	0	 	 
120035	3	0	 	 	 	0	 	 
120035	4	0	 	 	 	 	 	 
120035	5	0	 	 	 	0	 	 
120036	1	2	4	5	5	63	17	1
120036	2	0	 	 	 	0	 	 
120036	3	0	 	 	 	0	 	 
120036	4	0	 	 	 	 	 	 
120036	5	0	 	 	 	0	 	 
120037	1	3	4	5	5	65	17	1
120037	2	0	 	 	 	0	 	 
120037	3	0	 	 	 	30	17	8
120037	4	0	 	 	 	 	 	 
120037	5	0	 	 	 	0	 	 
120038	1	1	4	14	4	200	17	1
120038	2	0	 	 	 	0	 	 
120038	3	0	 	 	 	0	 	 
120038	4	1	4	5	5	 	 	 
120038	5	0	 	 	 	0	 	 
120039	1	2.5	4	5	5	1.5	4	3
120039	2	0	 	 	 	0	 	 
120039	3	0	 	 	 	0	 	 
120039	4	0	 	 	 	 	 	 
120039	5	0	 	 	 	0	 	 
120040	1	1	4	5	2	120	4	1
120040	2	0	 	 	 	0	 	 
120040	3	0	 	 	 	0	 	 
120040	4	3	4	5	5	 	 	 
120040	5	0	 	 	 	0	 	 
120041	1	2	4	5	2	150	17	1
120041	2	0	 	 	 	0	 	 
120041	3	0	 	 	 	0	 	 
120041	4	2.5	4	5	5	 	 	 
120041	5	0	 	 	 	0	 	 
120042	1	 	 	 	 	0	 	 
120042	2	 	 	 	 	0	 	 
120042	3	 	 	 	 	16	17	1
120042	4	 	 	 	 	 	 	 
120042	5	 	 	 	 	0	 	 
120043	1	5	4	5	1	500	17	1
120043	2	0	 	 	 	0	 	 
120043	3	0	 	 	 	0	 	 
120043	4	0	 	 	 	 	 	 
120043	5	0	 	 	 	0	 	 
120044	1	4	4	5	5	250	17	1
120044	2	0	 	 	 	0	 	 
120044	3	0	 	 	 	0	 	 
120044	4	0	 	 	 	 	 	 
120044	5	0	 	 	 	0	 	 
120045	1	1.75	4	5	5	150	17	2
120045	2	0	 	 	 	0	 	 
120045	3	0	 	 	 	0	 	 
120045	4	1.5	4	5	5	 	 	 
120045	5	0	 	 	 	0	 	 
120046	1	1.5	4	5	1	1	4	3
120046	2	0	 	 	 	0	 	 
120046	3	0	 	 	 	0	 	 
120046	4	0	 	 	 	 	 	 
120046	5	0	 	 	 	0	 	 
120047	1	5	4	5	1	64	17	1
120047	2	0	 	 	 	0	 	 
120047	3	0	 	 	 	0	 	 
120047	4	0	 	 	 	 	 	 
120047	5	0	 	 	 	0	 	 
120048	1	3	4	5	4	100	17	1
120048	2	0	 	 	 	0	 	 
120048	3	0	 	 	 	0	 	 
120048	4	0	 	 	 	 	 	 
120048	5	0	 	 	 	0	 	 
120049	1	2	4	5	5	50	17	1
120049	2	0	 	 	 	0	 	 
120049	3	0	 	 	 	0	 	 
120049	4	0	 	 	 	 	 	 
120049	5	0	 	 	 	0	 	 
120050	1	1.5	4	5	1	200	17	1
120050	2	0	 	 	 	0	 	 
120050	3	0	 	 	 	0	 	 
120050	4	.5	4	5	5	 	 	 
120050	5	0	 	 	 	0	 	 
120051	1	3	4	5	5	500	17	1
120051	2	0	 	 	 	0	 	 
120051	3	0	 	 	 	0	 	 
120051	4	0	 	 	 	 	 	 
120051	5	0	 	 	 	0	 	 
120052	1	 	 	 	 	60	17	1
120052	2	 	 	 	 	0	 	 
120052	3	 	 	 	 	0	 	 
120052	4	 	 	 	 	 	 	 
120052	5	 	 	 	 	0	 	 
120053	1	1	4	5	4	400	17	1
120053	2	0	 	 	 	0	 	 
120053	3	0	 	 	 	0	 	 
120053	4	0	 	 	 	 	 	 
120053	5	0	 	 	 	0	 	 
120054	1	1	4	5	5	150	17	1
120054	2	0	 	 	 	0	 	 
120054	3	0	 	 	 	0	 	 
120054	4	0	 	 	 	 	 	 
120054	5	0	 	 	 	0	 	 
120055	1	 	 	 	 	0	 	 
120055	2	 	 	 	 	0	 	 
120055	3	 	 	 	 	80	17	1
120055	4	 	 	 	 	 	 	 
120055	5	 	 	 	 	200	17	1
120056	1	4	4	5	1	54	17	1
120056	2	0	 	 	 	0	 	 
120056	3	0	 	 	 	0	 	 
120056	4	2	4	5	5	 	 	 
120056	5	0	 	 	 	0	 	 
120058	1	1	4	5	1	200	17	1
120058	2	0	 	 	 	0	 	 
120058	3	0	 	 	 	0	 	 
120058	4	0	 	 	 	 	 	 
120058	5	0	 	 	 	0	 	 
120059	1	8	4	5	1	120	17	1
120059	2	0	 	 	 	0	 	 
120059	3	0	 	 	 	0	 	 
120059	4	0	 	 	 	 	 	 
120059	5	0	 	 	 	0	 	 
120060	1	1	4	14	4	1000	17	4
120060	2	0	 	 	 	0	 	 
120060	3	0	 	 	 	0	 	 
120060	4	0	 	 	 	 	 	 
120060	5	0	 	 	 	0	 	 
120061	1	5	4	5	1	42	17	1
120061	2	0	 	 	 	0	 	 
120061	3	0	 	 	 	0	 	 
120061	4	0	 	 	 	 	 	 
120061	5	0	 	 	 	0	 	 
120063	1	3	4	5	1	48	17	1
120063	2	0	 	 	 	0	 	 
120063	3	0	 	 	 	0	 	 
120063	4	1	4	5	5	 	 	 
120063	5	0	 	 	 	0	 	 
120064	1	1.5	4	5	5	150	17	1
120064	2	0	 	 	 	0	 	 
120064	3	0	 	 	 	0	 	 
120064	4	0	 	 	 	 	 	 
120064	5	0	 	 	 	0	 	 
120065	1	2.15000009536743	4	5	2	200	17	1
120065	2	0	 	 	 	0	 	 
120065	3	0	 	 	 	0	 	 
120065	4	0	 	 	 	 	 	 
120065	5	0	 	 	 	0	 	 
120066	1	1	4	5	2	38.5	17	1
120066	2	0	 	 	 	0	 	 
120066	3	.5	4	5	5	0	 	 
120066	4	1	4	5	4	 	 	 
120066	5	0	 	 	 	0	 	 
120067	1	3.5	4	5	1	200	17	1
120067	2	0	 	 	 	0	 	 
120067	3	0	 	 	 	0	 	 
120067	4	2	4	5	5	 	 	 
120067	5	0	 	 	 	0	 	 
120068	1	.5	4	5	5	80	17	1
120068	2	0	 	 	 	0	 	 
120068	3	0	 	 	 	0	 	 
120068	4	0	 	 	 	 	 	 
120068	5	0	 	 	 	0	 	 
120069	1	1.5	4	5	5	72	17	1
120069	2	0	 	 	 	0	 	 
120069	3	0	 	 	 	0	 	 
120069	4	1	4	5	5	 	 	 
120069	5	0	 	 	 	0	 	 
120070	1	2	4	5	1	100	17	2
120070	2	1	4	5	5	0	 	 
120070	3	0	 	 	 	0	 	 
120070	4	0	 	 	 	 	 	 
120070	5	0	 	 	 	0	 	 
120071	1	2	4	5	1	70	17	1
120071	2	0	 	 	 	0	 	 
120071	3	0	 	 	 	0	 	 
120071	4	0	 	 	 	 	 	 
120071	5	0	 	 	 	0	 	 
120072	1	1	4	5	1	100	17	1
120072	2	0	 	 	 	0	 	 
120072	3	0	 	 	 	0	 	 
120072	4	0	 	 	 	 	 	 
120072	5	0	 	 	 	0	 	 
120073	1	.5	4	5	5	28.2999992370605	17	1
120073	2	0	 	 	 	0	 	 
120073	3	0	 	 	 	0	 	 
120073	4	0	 	 	 	 	 	 
120073	5	0	 	 	 	0	 	 
120074	1	.5	4	5	5	30	17	1
120074	2	0	 	 	 	0	 	 
120074	3	0	 	 	 	0	 	 
120074	4	1	4	5	5	 	 	 
120074	5	0	 	 	 	0	 	 
120075	1	1.25	4	5	5	48	17	1
